#Classification strategy
#(0) Hopeless
#(1) Arcs or arc constraints (basically anything with scintles resolved in time)
#(2) f_scint constraints (observable scint, not resolved in time)
#(3) Needs a re-do with different filtering pars
#(4) = 1+3), Arcs, but needs a re-do
#(5) = 2+3), f_scint, but needs a re-do
#(6) Borderline, or unsure

#PSRNAME CLASS
J1845+0623 0
J1845-0434 0
J1845-0545 3
J1845-0635 0
J1845-0743 0
J1845-0826 0
J1845-1114 0
J1846+0051 0
J1846-0257 3
J1846-07492 0
J1846-0749 0
J1847-0402 6
J1847-0438 0
J1847-0443 0
J1847-0605 0
J1848+0351 3
J1848+0647 3
J1848+0826 0
J1848-0023 4
J1848-0123 6
J1848-0601 0
J1848-1150 3
J1848-1243 0
J1849+0409 1
J1849+2423 2
J1849-0317 2
J1849-0614 3
J1849-0636 3
J1850+0026 0
J1850+0423 0
J1850+1335 1
J1850-0026 3
J1851+0418 0
J1851+1259 3
J1851-0029 0
J1851-0114 0
J1852+0008 0
J1852+0013 3
J1852-0118 0
J1852-0127 0
J1852-0635 0
J1852-2610 2
J1853+0011 0
J1853+0505 0
J1853+0545 0
J1853-0004 0
J1854+0306 3
J1854+0319 0
J1854-1421 1
J1855+0205 0
J1855+0307 0
J1855+0527 0
J1855+0700 0
J1855-0941 0
J1856+0102 3
J1856+0113 0
J1856+0245 0
J1856-0526 6
J1857+0057 0
J1857+0143 0
J1857+0212 0
J1857+0300 3
J1857+0526 0
J1857+0809 0
J1858+0319 3
J1858+0346 3
J1859+0601 3
J1859+0603 0
J1859+1526 3
J1900+0438 3
J1900+0634 0
J1900-0051 0
J1900-2600 1
J1900-7951 3
J1901+0124 0
J1901+0156 2
J1901+0234 3
J1901+0331 6
J1901+0355 0
J1901+0459 3
J1901+0511 3
J1901+0716 3
J1901+1306 3
J1901-0312 3
J1901-0906 11
J1902+0556 0
J1902+0615 0
J1902-1036 0
J1903+0135 1
J1903+0601 0
J1903+0654 3
J1903+2225 3
J1903-0258 0
J1903-0632 0
J1903-0848 3
J1904+0004 0
J1904+0738 0
J1904+0800 0
J1904-0150 0
J1904-1224 0
J1905+0600 0
J1905+0616 0
J1905+0709 0
J1905+0902 0
J1905-0056 0
J1906+0414 3
J1906+0509 3
J1906+0641 0
J1906+0649 0
J1906+0746 0
J1906+0912 0
J1906+1854 0
J1907+0255 0
J1907+0345 0
J1907+0602 3
J1907+0631 0
J1907+0731 0
J1907+0740 0
J1907+0859 3
J1907+0918 0
J1907+1149 0
J1907+1247 0
J1907-1532 3
J1908+0500 0
J1908+0734 2
J1908+0833 0
J1908+0839 3
J1908+0909 0
J1908+0916 3
J1908+2351 0
J1909+0007 4
J1909+0254 4
J1909+0641 3
J1909+0749 0
J1909+0912 0
J1909+1102 1
J1909+1148 3
J1909+1859 2
J1910+0225 0
J1910+0358 1
J1910+0517 0
J1910+0728 3
J1910+1231 3
J1910-0309 0
J1911+1758 2
J1912+1036 0
J1912+2104 4
J1913+0657 3
J1913+0832 0
J1913+0904 0
J1913+0936 3
J1913+1000 0
J1913+1011 0
J1913+1050 3
J1913+1145 0
J1913+1330 0
J1913+1400 1
J1913-0440 1
J1914+0219 0
J1914+0631 3
J1914+1122 2
J1915+0227 1
J1915+0738 5
J1915+0752 4
J1915+0838 0
J1915+1009 0
J1915+1410 0
J1915+1606 3
J1915+1647 5
J1916+0844 0
J1916+0951 2
J1916+1030 0
J1916+1225 0
J1916+1312 0
J1916-2939 5
J1917+0834 4
J1917+1353 1
J1917+1737 0
J1918+1444 1
J1918+1541 5
J1918-1052 1
J1919+0021 6
J1919+0134 4
J1919+1314 3
J1919+1645 0
J1920-0950 3
J1921+0812 2
J1921+1419 1
J1921+1544 0
J1921+1948 4
J1921+2003 1
J1921+2153 1
J1922+1131 3
J1923+1706 3
J1924+1631 3
J1924+1639 0
J1925+1720 3
J1926+0431 2
J1926+0737 3
J1926+1434 3
J1926+1648 4
J1926+1928 3
J1926+2016 0
J1926-1314 3
J1927+0911 0
J1927+1852 3
J1927+1856 0
J1927+2234 3
J1928+1443 3
J1928+1746 0
J1928+1923 3
J1929+1357 3
J1929+1844 3
J1929+1955 0
J1929+2121 5
J1930+1316 6
J1930-1852 0
J1931+1536 0
J1931+1952 0
J1932+1059 2
J1932+1500 3
J1932+2220 1
J1932-3655 2
J1933+0758 0
J1933+1304 1
J1934+2352 0
J1935+1616 1
J1935+1745 0
J1935+2025 0
J1936+1536 0
J1938+0650 3
J1938+2010 3
J1938+2213 0
J1940+2245 0
J1940+2337 0
J1941+0121 2
J1941+1026 6
J1941+1341 6
J1941-2602 1
J1942+1743 3
J1943+0609 1
J1943-1237 1
J1944+1755 0
J1945+1834 3
J1945-0040 4
J1946+1805 5
J1946+2244 0
J1946-1312 2
J1946-2913 1
J1947+1957 0
J1948+2333 0
J1949+2306 0
J1949-2524 4
J1951+1123 1
J1952+1410 2
J1953+1149 3
J1954+1021 3
J1954+2407 0
J1956+0838 2
J2002+1637 2
J2005-0020 4
J2006-0807 5
J2007+0910 2
